Data Type, Name, Group type, Scope, Spatial extent, Scales of operation, Species, Link to file or description
AboutMe, USFWS, Federal agency, Conservation and management, USA, National; Multi-state; Refuge, Migratory birds,  https://www.fws.gov/migratorybirds/
Link to layer downloads, NABCI BCR, Collaborative?, Bird conservation units for targeted recommendations and inference, North America; National; Regional, None; relevant to birds however; habitat-based, https://github.com/TrashBirdEcology/usavian
